id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14302712,Rincon Holiday Home Torquay - New Modern home,22942830,Michael,,Surf Coast,-38.3323,144.30483,Entire home/apt,990,6,75,2023-01-08,0.81,1,362,0,
14341027,Sirocco - Roof Top Deck And Pet Friendly,84586909,Great Ocean Road Holidays,,Surf Coast,-38.46116138979893,144.10290424748092,Entire home/apt,624,2,3,2022-09-26,0.03,541,338,0,
14341278,Tearmann,84586909,Great Ocean Road Holidays,,Surf Coast,-38.4664960288974,144.1047003949232,Entire home/apt,577,2,15,2022-05-30,0.17,541,89,0,
14380965,Coastal Boho Cottage,57678577,Melinda,,Queenscliffe,-38.26399,144.66751,Entire home/apt,304,1,138,2024-06-15,1.48,1,103,35,
14432043,Lotti's Cottage,84586909,Great Ocean Road Holidays,,Surf Coast,-38.54014042128736,143.97372321910564,Entire home/apt,318,2,17,2024-03-10,0.22,541,162,1,
14432349,The Octopus,84586909,Great Ocean Road Holidays,,Surf Coast,-38.530732722063185,143.97294775859118,Entire home/apt,,2,3,2021-02-07,0.04,541,0,0,
14435700,Cosy Torquay Beach House,22979300,Ellie,,Surf Coast,-38.33289,144.31761,Entire home/apt,220,2,1,2024-05-25,0.83,1,218,1,
14450428,Questa E Bella,84586909,Great Ocean Road Holidays,,Surf Coast,-38.53739173140518,143.97450709757743,Entire home/apt,412,2,11,2023-09-11,0.14,541,301,1,
14452189,Lorne Chalet Apartment 38,84586909,Great Ocean Road Holidays,,Surf Coast,-38.539126741446275,143.97416523271343,Entire home/apt,548,2,28,2024-03-16,0.31,541,63,5,
14453243,"Argo - Family Fun, Table Tennis",84586909,Great Ocean Road Holidays,,Surf Coast,-38.53583104999406,143.96945632581196,Entire home/apt,695,2,58,2024-03-03,0.63,541,285,6,
14474890,Manorola,84586909,Great Ocean Road Holidays,,Surf Coast,-38.46364119420529,144.09419084302382,Entire home/apt,756,2,7,2024-03-11,0.11,541,342,1,
14475246,Beach View,84586909,Great Ocean Road Holidays,,Surf Coast,-38.46740923936527,144.08529111505078,Entire home/apt,330,2,9,2024-05-05,0.14,541,323,3,
14489072,"The Butterfly Studio, a perfect getaway in nature.",15439957,Nadia And David,,Colac Otway,-38.62923,143.8983,Entire home/apt,151,2,90,2024-06-09,0.96,2,261,9,
14489583,"The Butterfly House, a retro original beach pad",15439957,Nadia And David,,Colac Otway,-38.62831,143.89736,Entire home/apt,179,2,93,2024-01-28,1.01,2,180,6,
14494244,Kids paradise - park AND beach. Amazing location!,28788492,Angela,,Surf Coast,-38.35036,144.29311,Entire home/apt,550,4,3,2018-01-24,0.03,1,364,0,
14525307,Beach Getaway,18130636,Lyn,,Surf Coast,-38.312,144.33516,Entire home/apt,420,7,8,2019-01-07,0.09,1,358,0,
14536105,Riverview Heights on the Hopkins River,49447740,Lorraine,,Warrnambool,-38.38954,142.528,Entire home/apt,521,2,85,2024-06-10,1.04,6,55,13,
14540137,"Jan Juc Beach Break - Sand, Sun & Surf - 750m Walk",76293087,Traci,,Surf Coast,-38.342865,144.302872,Entire home/apt,217,2,100,2024-06-10,1.07,1,241,13,
14542652,The Bank Koroit,9278022,Damien And Adele,,Moyne,-38.29253,142.36555,Entire home/apt,160,1,390,2024-06-14,4.21,2,297,71,
14579964,Spacious four bedroom home. Ocean Grove.,39396727,Melissa,,Greater Geelong,-38.24691841675585,144.55317364558672,Entire home/apt,1250,3,0,,,1,88,0,
14643226,Arnolds of Noorat....Great Ocean Rd & SW Victoria,38435059,Jane,,Corangamite,-38.18483,142.93318,Entire home/apt,130,1,302,2024-06-10,3.18,1,216,40,
14654571,Adrift at Ocean Grove,41771397,Catherine,,Greater Geelong,-38.26619,144.5145,Entire home/apt,258,2,68,2024-05-19,0.72,1,142,8,
14714717,8seasapollobay,30878256,Lyn,,Colac Otway,-38.75194,143.66837,Entire home/apt,167,1,912,2024-06-14,9.58,1,306,108,
14715706,Jacks Place,84586909,Great Ocean Road Holidays,,Colac Otway,-38.63559334448501,143.88891363346613,Entire home/apt,377,2,24,2021-05-10,0.26,541,8,0,
14716305,Mouzel - Kennett River,84586909,Great Ocean Road Holidays,,Colac Otway,-38.66992522554948,143.85696569385115,Entire home/apt,283,2,44,2023-02-05,0.47,541,348,0,
14719155,Clara's B&B,89613769,Jenny,,Warrnambool,-38.38955,142.51319,Private room,,1,198,2024-06-16,2.17,1,0,16,
14721522,Private room with ensuite close to the beach!,91629400,Julie,,Surf Coast,-38.33465,144.32019,Private room,110,2,121,2024-05-19,1.29,1,89,22,
14731351,Lorne Beach Accom - Apt 3,70052828,Robert & Theresa,,Surf Coast,-38.52639,143.98393,Entire home/apt,200,3,94,2024-04-14,1.00,3,332,9,
14775846,Mayfair Park Farmstay,92205525,Lance,,Surf Coast,-38.27793,144.25389,Entire home/apt,290,2,67,2024-06-09,0.75,1,313,16,
14814592,Yaugher Vue Cottage,20872025,Sue,,Colac Otway,-38.5149,143.72664,Entire home/apt,184,2,282,2024-04-27,3.03,1,81,19,
14825713,"Kennet River, views, relaxing, and local wildlife",79207510,Ian,,Colac Otway,-38.668,143.85949,Entire home/apt,240,3,120,2023-06-12,1.27,2,59,0,
14845818,"Paringa Beach House, 500m to the beach",12398562,Mary,,Colac Otway,-38.63239,143.89162,Entire home/apt,395,2,175,2024-06-10,1.89,8,311,17,
14848571,BIG GROUPS WELCOME-Cowrie Road Torquay,85564624,John,,Surf Coast,-38.32351,144.3205,Entire home/apt,352,5,8,2022-12-10,0.10,2,359,0,
14920078,Cowrie a 3-bedroom unit in the heart of Apollo Bay,20709724,Susan,,Colac Otway,-38.7578158,143.6686662,Entire home/apt,320,2,39,2024-05-19,1.56,1,305,21,
14941693,150  Steps FREE WI-FI,23012645,Lisa,,Colac Otway,-38.74404,143.67181,Entire home/apt,206,2,368,2024-06-23,3.88,37,309,55,
14954062,Quality central apartment up town,92536152,Lea And Peter,,Warrnambool,-38.37631,142.48839,Entire home/apt,166,1,986,2024-06-26,10.40,1,303,102,
14956994,Claro House,29285308,Anna,,Moyne,-38.37885,142.2318,Entire home/apt,320,2,54,2024-04-27,0.57,1,177,3,
14971121,Wye Dream - The Original Wye Surf Club Bunkhouse,56013810,Michelle & Matthew,,Colac Otway,-38.63366,143.89089,Entire home/apt,300,2,110,2024-04-07,1.18,1,280,5,
15009314,Waterlake Cottage - A relaxing escape,94711733,Sue,,Southern Grampians,-37.6097,142.08009,Entire home/apt,121,3,78,2024-06-11,0.84,1,339,6,
15010005,Galleywood House Warrnambool,94720087,Rebecca,,Warrnambool,-38.3936,142.46871,Entire home/apt,246,2,83,2024-05-27,1.14,1,329,13,
15013932,Your home in Juc!,29344362,Thomas,,Surf Coast,-38.34228,144.29767,Entire home/apt,499,3,34,2024-01-06,0.37,1,14,2,
15029903,Modern 4 br house 150m beach/shops!,11435458,Meredith,,Queenscliffe,-38.28744,144.61414,Entire home/apt,480,2,37,2024-03-31,0.39,1,197,4,
15091344,Barwon Heads Summer House,14699807,Lisa,,Greater Geelong,-38.27831,144.48387,Entire home/apt,850,5,1,2020-01-01,0.02,1,109,0,
15098864,NEW Luxury Tiny Home Caramel,27756695,Caroline,,Corangamite,-38.482826,142.978561,Entire home/apt,233,2,69,2024-04-09,2.17,3,142,19,
15099819,Little Surf Break,11984270,Ange,,Greater Geelong,-38.26309,144.53924,Entire home/apt,119,5,39,2023-01-15,0.42,1,148,0,
15121208,Spacious Townhouse Central St Leonards,51678707,Ocean Edge Holiday Rentals: Rebecca,,Greater Geelong,-38.17148,144.71628,Entire home/apt,165,2,83,2024-03-11,0.90,114,250,4,
15132656,Wye Knot. A beautiful home. A magnificent location,53612074,Roger,,Colac Otway,-38.6328,143.89137,Entire home/apt,451,2,87,2024-02-18,0.97,1,172,6,
15134396,Contemporary with all mod cons.,95962643,Theodor,,Colac Otway,-38.7579,143.6623,Entire home/apt,238,2,275,2024-06-10,2.92,1,192,13,
15148048,Gorgeous Lower Bluff Hideaway,43640443,Nicole,,Greater Geelong,-38.19486,144.7057,Entire home/apt,174,2,48,2024-06-10,0.52,1,114,3,
15170091,Fairy Wren Cottage - Country to Coast Retreat,96272305,Alicia,,Greater Geelong,-38.20826,144.54606,Entire home/apt,228,1,84,2024-06-08,1.04,1,174,7,
15211531,PORTSIDE at Port Fairy,96633952,Vicki,,Moyne,-38.39131,142.21831,Entire home/apt,375,3,82,2024-06-10,0.89,1,203,8,
15224256,Cdeck Beach House  Apartment,69698658,Sue & Evan,,Corangamite,-38.62184,142.99597,Entire home/apt,170,2,449,2024-06-10,5.53,1,1,49,
15241837,The Boulevard House Lorne,6594229,Brian,,Surf Coast,-38.53496,143.97007,Entire home/apt,415,2,23,2024-06-10,0.25,1,296,13,
15274484,The Retreat on Eggleston,12278579,Dan,,Greater Geelong,-38.2649,144.52645,Entire home/apt,,5,2,2017-04-16,0.02,2,184,0,
15329889,Peterborough Foreshore Holiday Accommodation,61281621,Maryanne,,Moyne,-38.60805,142.87804,Entire home/apt,414,3,17,2020-01-05,0.19,1,148,0,
15332157,Queenscliff beach escape,236928820,Alexandra,,Queenscliffe,-38.26952,144.65454,Entire home/apt,400,2,8,2024-03-31,0.09,1,315,1,
15344382,Banksia Room The Heart of the Great Ocean Road,97843374,Jodie And Shane,,Colac Otway,-38.779464952579026,143.43043794181935,Private room,142,1,420,2024-06-10,4.49,2,156,44,
15380887,Intrigue FREE WI-FI l Family Home,23012645,Lisa,,Colac Otway,-38.75145,143.66524,Entire home/apt,139,2,172,2024-06-10,1.84,37,349,24,
15411619,Blue Sea Retreat  genuinely pet friendly house,98297854,Jane,,Greater Geelong,-38.11931,144.66886,Entire home/apt,171,2,149,2024-06-23,1.74,1,300,18,
15428703,Beach House Jan Juc,69744785,Damian,,Surf Coast,-38.35269,144.29758,Entire home/apt,500,2,37,2024-04-07,0.40,1,89,10,
15435705,Spacious Torquay Guesthouse,57188370,Stuart,,Surf Coast,-38.31852,144.31365,Private room,109,1,456,2024-04-29,4.86,3,352,14,
15454402,Mod 4 BRM Home Walk to Beach/Town Free WiFi/Foxtel,37089645,Belinda,,Greater Geelong,-38.16396,144.71267,Entire home/apt,210,2,247,2024-05-18,2.78,2,266,13,
15459111,The Barn - Kookaburra Wellness Retreat,7282388,"Mike, Lesley & Ebony",,Colac Otway,-38.71567,143.72986,Entire home/apt,260,1,276,2024-06-23,2.96,7,175,35,
15469972,Coatsworth by the Sea,25762742,George,,Greater Geelong,-38.17139,144.71303,Entire home/apt,238,4,28,2022-04-13,0.31,1,345,0,
15470144,Bel-Air Luxury Townhouse,99284758,Noel,,Surf Coast,-38.53752,143.97157,Entire home/apt,237,2,170,2024-05-19,1.81,1,110,30,
15487144,Geelong Central Malop Street Room 3,86456124,Zoran,,Greater Geelong,-38.14947,144.36893,Private room,37,14,11,2020-08-19,0.13,5,0,0,
15487254,Geelong Central Malop St room 1,86456124,Zoran,,Greater Geelong,-38.15046,144.37046,Private room,45,14,2,2018-04-25,0.02,5,0,0,
15504850,Sea Mist Hill Top Retreat,62090677,Kate,,Warrnambool,-38.4011,142.51525,Entire home/apt,180,1,72,2024-05-24,0.78,6,132,3,
15513326,Aireys Beach House - Great Ocean Rd,2272288,Kate,,Surf Coast,-38.45605,144.11348,Entire home/apt,450,2,9,2019-01-27,0.11,1,179,0,
15516841,Sea Mist Hill Top Apartment - A Secluded Getaway,62090677,Kate,,Warrnambool,-38.39947,142.51523,Entire home/apt,187,1,261,2024-06-06,2.82,6,342,24,
15526869,Fully furnished house perfect for workers.,10301537,Maureen,,Warrnambool,-38.38777,142.49024,Entire home/apt,,4,128,2022-06-12,1.40,1,0,0,
15537703,BIG4 Port Fairy -Kingfisher  Cabin,17054915,Jenni,,Moyne,-38.37527,142.231,Entire home/apt,,1,22,2020-06-08,0.24,3,0,0,
15540172,River View,97862276,Claire,,Greater Geelong,-38.26488,144.49466,Entire home/apt,880,5,8,2018-01-14,0.09,1,83,0,
15541230,Hillside House  Stunning Views!,99991738,Jeff,,Colac Otway,-38.7147,143.6674,Entire home/apt,346,3,130,2024-06-09,1.39,2,79,15,
15553741,[Ocean Park Drive],26021640,Smyth Real Estate,,Colac Otway,-38.77207,143.66167,Entire home/apt,363,7,5,2022-12-25,0.07,12,87,0,
15626202,Seahorse Retreat,79435449,Lizzie,,Colac Otway,-38.7220721,143.7191995,Entire home/apt,148,1,1206,2024-06-24,12.90,1,301,148,
15635684,Barwon Heads Beach Bungalow in central block,71033348,Nick,,Greater Geelong,-38.27559,144.4886,Entire home/apt,316,3,8,2024-03-31,0.09,1,89,5,
15637828,City Centre Studio - Warrnambool,100856485,Simone And Michael,,Warrnambool,-38.38475,142.483,Entire home/apt,75,1,499,2024-06-21,5.37,4,303,60,
15648111,Melody Farm Coastal Retreat!,13022988,Michele And Warren,,Surf Coast,-38.33026,144.26719,Entire home/apt,286,2,105,2024-03-31,1.15,1,80,8,
15652079,Villa By the Sea,101011984,Joanna,,Queenscliffe,-38.26927,144.65725,Entire home/apt,,2,30,2022-11-17,0.34,1,0,0,
